tour_id,country,region,city,location,title,slug,slug_override,video_type,themes,filmed_date_iso,filmed_year,weather_summary,temp_f,temp_c,youtube_url,map_url,latitude,longitude,distance_label,distance_miles,distance_km,duration_label,duration_seconds,description_short,description_long,landmarks,keywords,status,thumbnail_path,display_location
ca-0001,Canada,British Columbia,Vancouver,"Stanley Park, Kitsilano & Gastown","Vancouver, Canada Walking Tour 🇨🇦 | Stanley Park, Kitsilano, Downtown & Gastown | 4K",vancouver-canada-walking-tour,vancouver-canada-walking-tour,day-walk,"City Walks, Waterfronts & Seawalls, Beaches & Parks",2018-07-29,2018,,82,27,https://youtu.be/faUNhaRLpMc,https://www.google.com/maps/d/u/0/edit?mid=1WyUj0jE7INvr_u_v_1ZpHZ4ONa6xlD3e&usp=sharing,49.2703002,-123.1370144,12.5 Miles,12.50,20.10,3:52:12,"13,932.00","A daytime walk in Vancouver, Canada.","A long daytime walk through Vancouver, British Columbia, featuring Stanley Park, Kitsilano Beach, False Creek, downtown, Gastown, and Canada Place.","Intro and Map, Island Park Walk, Burrard Street Bridge, Vanier Park, Hadden Park, Kitsilano Beach, Cornwall Ave, Seabreeze Walk, George Wainborn Park, David Lam Park, Coopers Park, BC Place Stadium, Robson Street, Robson Square, Trump Tower, Chinatown Millennium Gate, Dr. Sun Yat-Sen Classical Chinese Garden, Gastown, Maple Tree Square, Gastown Steam Clock, Canada Place, The Canadian Trail","Vancouver, British Columbia, Canada, day walk, Stanley Park, Kitsilano Beach, False Creek, downtown Vancouver, Gastown, Canada Place, seawall, waterfront, city walk, 4K",ready,,"Stanley Park, Kitsilano & Gastown"
ca-0002,Canada,British Columbia,Vancouver,Stanley Park Seawall,Stanley Park Walking Tour 🇨🇦 Full Seawall Loop — Vancouver BC | 8 Miles / 13 km,stanley-park-seawall-walk-vancouver,stanley-park-seawall-walk-vancouver,day-walk,"Waterfronts & Seawalls, Parks & Nature",2018-07-29,2018,,72,22,https://youtu.be/uN7UkfKc-_w,https://www.google.com/maps/d/u/0/edit?mid=1eEpHXp0hDVkXp1LQxgY9u0tr8vEQ4ww&usp=sharing,49.2893459,-123.1140912,8 Miles,8.00,12.90,2:04:52,"7,492.00","A daytime walk in Vancouver, Canada.","A daytime walk around Stanley Park’s famous seawall loop in Vancouver, British Columbia, featuring waterfront views, sculptures, beaches, and the Lions Gate Bridge.","Intro and Map, Seaplane Terminal, Vancouver Seawall, Lightshed Sculpture, Cardero Park, Devonian Harbour Park, Stanley Park Entrance, HMCS Discovery, Hallelujah Point, Nine O'Clock Gun, Brockton Point, Girl in a Wetsuit Statue, Lions Gate Bridge, Third Beach, Second Beach, English Bay Beach, Inukshuk Sculpture, Sunset Beach","Vancouver, British Columbia, Canada, Stanley Park, Stanley Park Seawall, day walk, seawall, Lions Gate Bridge, English Bay, Brockton Point, beaches, 4K",ready,,Stanley Park Seawall
ca-0003,Canada,British Columbia,Vancouver,Seawall & Downtown,"Vancouver, Canada Seawall & Downtown Bike Tour (2025)",vancouver-bike-tour-2025,vancouver-bike-tour-2025,bike-tour,"Bike Tours, Waterfronts & Seawalls, City Walks",2025-04-04,2025,,55,13,https://youtu.be/dfWwFF4h5Sk,https://www.google.com/maps/d/u/0/edit?mid=1OrorUUt4uUxv6TM-AUf2iOinISEoKQY&usp=sharing,49.2881284,-123.1140908,45 Miles,45.00,72.40,4:16:47,"15,407.00","A bike tour in Vancouver, Canada.","A long bike tour through Vancouver, British Columbia, riding from Canada Place around Stanley Park, the False Creek Seawall, Kitsilano, and downtown Vancouver.","Intro and Map, Canada Place, Coal Harbour Seawall Path, Stanley Park Seawall Path, Beach Avenue, False Creek Seawall, Kitsilano Seawall, Cornwall Avenue, Burrard Street Bridge, Burrard Street, Pender Street, Chinatown, Carrall Street, Maple Tree Square, Gastown Steam Clock, Robson Street, Robson Square, Lost Lagoon, Stanley Park Trails, Lions Gate Bridge, Prospect Point Lookout, Hollow Tree, Granville Island, Island Park Walk, Creekside Park, David Lam Park","Vancouver, British Columbia, Canada, bike tour, Stanley Park Seawall, False Creek Seawall, Kitsilano, downtown Vancouver, Gastown, Canada Place, Coal Harbour, Lions Gate Bridge, 4K60",ready,,Seawall & Downtown
ca-0004,Canada,British Columbia,Vancouver,Sunset Beach & Granville Island,"Vancouver, Canada Sunset Beach Evening Walk (2025)",vancouver-sunset-beach-evening-walk-2025,vancouver-sunset-beach-evening-walk-2025,evening-walk,"Evening & Night Walks, Waterfronts & Seawalls, Beaches",2025-04-04,2025,,55,13,https://youtu.be/KQaXN949DW8,https://www.google.com/maps/d/u/0/edit?mid=1dzhNSBsPiwT-k5nhGBDDMy-yBLfEPE0&usp=sharing,49.2876862,-123.1426526,1.75 Miles,1.75,2.80,00:54:32,"3,272.00","An evening walk in Vancouver, Canada.",An evening walk along Vancouver’s waterfront from English Bay Beach and Sunset Beach to the False Creek ferry and Granville Island.,"English Bay Beach, Inukshuk Sculpture, Sunset Beach, False Creek Ferry Dock, Vancouver Seawall, Ferry Ride Across False Creek, Granville Island","Vancouver, British Columbia, Canada, evening walk, Sunset Beach, English Bay, False Creek ferry, Granville Island, seawall, waterfront, 4K",ready,,Sunset Beach & Granville Island
ca-0005,Canada,British Columbia,Vancouver,Granville Island,"Vancouver, Canada Granville Island Walk (2025)",granville-island-walking-tour-vancouver,granville-island-walking-tour-vancouver,day-walk,"Markets & Food Halls, Waterfronts & Seawalls",2025-07-28,2025,,63,17,https://youtu.be/fyQqc6cZNA8,https://www.google.com/maps/d/edit?mid=1AvMNUp7Mt-egkR8YKLURr19TRm_Mn5g&usp=sharing,49.2726596,-123.1359733,1.6 Miles,1.60,2.60,00:46:44,"2,804.00","A daytime walk in Vancouver, Canada.","A daytime walk around Granville Island in Vancouver, British Columbia, featuring the Public Market, waterfront boardwalks, parks, shops, and boat yards.","Intro and Map, Ferry Dock, Triangle Square, Public Market Food Hall, Public Market Courtyard, Public Market Artisan Crafts, Outdoor Boardwalk, The Sandbar Boat, Johnston Street, Ocean Cement, Pier 32, Historic Yellow Crane, Ron Basford Park, Water Park, Pond, Kids Market, Duranleau Street, Outdoor Restaurant on Pier, Boat Yard and Dry Docks, Boat Marina Walk","Vancouver, British Columbia, Canada, Granville Island, Public Market, waterfront, boardwalk, Ron Basford Park, Kids Market, boat yard, marina, day walk, 4K",ready,,Granville Island
ca-0006,Canada,British Columbia,Vancouver,"Coal Harbour, Gastown, Chinatown & Granville Street","Vancouver, BC Evening Walk 🇨🇦 | Coal Harbour, Gastown, Chinatown & Granville Street | 4K",vancouver-evening-walk-gastown-2025,vancouver-evening-walk-gastown-2025,evening-walk,"Evening & Night Walks, Waterfronts & Seawalls, Historic Districts",2025-04-05,2025,,55,13,https://youtu.be/idp8quobV8o,https://www.google.com/maps/d/edit?mid=1QuDe-EgJsQB0vNPzIvbbICSSyYe4dRs&usp=sharing,49.2967217,-123.1347473,4.6 Miles,4.60,7.40,1:46:04,"6,364.00","An evening walk in Vancouver, Canada.","An evening walk through Vancouver, British Columbia, featuring Coal Harbour, Canada Place, Gastown, Chinatown, and Granville Street under spring evening light.","Intro, Coal Harbour Seawall, Cherry Blossoms, Lift Bar Grill View, Sea Bridge, Cardero's Restaurant, Coal Harbour Community Centre, LightShed Sculpture, Vancouver Convention Centre, Jack Poole Plaza, Olympic Cauldron, Burrard Landing, The Drop Sculpture, Canada Place, Waterfront Station, Water Street, Gastown Steam Clock, Maple Tree Square, Chinatown Millennium Gate, Granville Street, Commodore Ballroom, The Vogue Theatre","Vancouver, British Columbia, Canada, evening walk, Coal Harbour, Gastown, Chinatown, Granville Street, Canada Place, Jack Poole Plaza, Olympic Cauldron, cherry blossoms, 4K",ready,,"Coal Harbour, Gastown & Chinatown"
